Player,Dis,Ct,St,Ct Wk,Ct Fi,Inns,,Opposition,Ground,Start Date,
Mohammad Nabi (AFG),3,3,0,0,3,2,,v England,Lahore,26 Feb 2025,
Rahmanullah Gurbaz (AFG),2,2,0,2,0,2,,v England,Lahore,26 Feb 2025,
JC Archer (ENG),1,1,0,0,1,1,,v Afghanistan,Lahore,26 Feb 2025,
AU Rashid (ENG),1,1,0,0,1,1,,v Afghanistan,Lahore,26 Feb 2025,
JE Root (ENG),1,1,0,0,1,1,,v Afghanistan,Lahore,26 Feb 2025,
Azmatullah Omarzai (AFG),1,1,0,0,1,2,,v England,Lahore,26 Feb 2025,
Ibrahim Zadran (AFG),1,1,0,0,1,2,,v England,Lahore,26 Feb 2025,
Rahmat Shah (AFG),1,1,0,0,1,2,,v England,Lahore,26 Feb 2025,
HC Brook (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
JC Buttler (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
BM Duckett (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
LS Livingstone (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
J Overton (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
PD Salt (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
JL Smith (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
MA Wood (ENG),0,0,0,0,0,1,,v Afghanistan,Lahore,26 Feb 2025,
Fazalhaq Farooqi (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
Gulbadin Naib (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
Hashmatullah Shahidi (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
Noor Ahmad (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
Rashid Khan (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
Sediqullah Atal (AFG),0,0,0,0,0,2,,v England,Lahore,26 Feb 2025,
